From,To
P60521,P60520
Q9WV18,Q9UBS5
Q80T41,O75899
Q00422,Q06546
Q00420,Q06547
P81069,Q8TAK5
P62812,P14867
P26048,P47869
P26049,P34903
Q9D6F4,P48169
Q8BHJ7,P31644
P16305,Q16445
P50571,P18505
P63137,P47870
P63080,P28472
P22933,O14764
A2AMW3,P78334
Q9R0Y8,Q8N1C3
P22723,P18507
P27681,Q99928
Q8QZW7,O00591
Q9JLF1,Q9UN88
P56475,P24046
P56476,P28476
B2RXA8,A8MPY1
P48318,Q99259
P48320,Q05329
P48316,P24522
P22339,O75293
Q9Z111,O95257
Q9CR59,Q8TAE8
Q80WP8,Q6ZQY3
Q99KY4,O14976
P47212,Q8N6F7
Q9JHE4,Q99999
Q6XQH0,Q9H3Q3
J3QMJ1,Q9H3Q3
Q3ULK5,Q9H3Q3
P61315,Q96A11
Q3V1B8,Q96RP7
P54818,P54803
Q8R059,Q14376
Q9R0N0,P51570
Q68FH4,Q01415
Q8K157,Q96C23
Q571E4,P34059
O08912,Q10472
Q6P9S7,Q86SR1
Q921L8,Q8NCW6
Q8BGT9,Q8IXK2
Q8CF93,Q8IUC8
Q8BVG5,Q96FL9
Q9D2N8,Q8N3T1
Q9JJ61,Q8N428
Q7TT15,Q6IS24
Q8K1B9,Q6P9A2
Q6PB93,Q10471
P70419,Q14435
O08832,Q8N4A0
Q8C102,Q7Z7M9
Q8C7U7,Q8NCL4
Q80VA0,Q86SF2
G3X942,Q9HCQ5
Q9D4M9,Q7Z4T8
E5D8G1,Q49A17
Q810H5,Q9UBC7
P56479,P47211
O88854,O43603
O88853,O60755
Q03249,P07902
O35969,Q14353
Q8CA72,Q9H2C0
Q8BHN3,Q14697
Q8BVW0,Q8TET4
P06837,P17677
P16858,P04406
,P04406
A0A1D5RLD8,P04406
S4R1W1,P04406
Q64467,O14556
Q8CB93,Q8N292
Q6PAR5,Q14C86
Q9CY66,Q9NY12
Q3UFT3,Q9H706
Q6PAJ3,Q75VX8
B2RXB0,Q6NXP2
Q3UZD7,Q96KD3
D3YV92,Q8N9W8
Q5STT6,Q8TC56
B7XG49,Q8IYT1
A1L3C1,Q6IPT2
L7N480,Q8N5Q1
Q3V0G7,Q5VVW2
Q8C5X1,O15063
Q9CZD3,P41250
Q64737,P22102
Q01721,P54826
P11862,O43903
Q8JZP9,Q99501
Q5SSG4,Q8NHY3
Q3UWW6,Q86XJ1
V9H1D0,
Q61592,Q14393
Q60780,O60861
Q60779,O95995
Q3UY90,Q9UFP1
Q3UPI1,Q6UWH4
P48757,P01350
P17679,P15976
O09100,P23769
P23772,P23771
Q08369,P43694
P97489,Q9BWX5
Q61169,Q92908
Q920S3,Q8WUU5
Q8CHY6,Q86YP4
Q8VHR5,Q8WXI9
Q99JT1,O75879
Q8CBY0,O43716
Q8BFQ8,Q8NB37
Q9D172,P0DPI2
Q9D964,P50440
P17439,P04062
Q69ZF3,Q9HCG7
Q9D6Y9,Q04446
Q6DFZ1,Q92538
Q8VI38,Q8N5D6
Q9Z0E6,P32455
Q01514,P32455
Q9Z0E6,P32456
Q01514,P32456
Q9Z0E6,Q9H0R5
Q01514,Q9H0R5
Q61107,Q96PP9
Q91Z40,Q96PP9
Q8CFB4,Q96PP8
Q000W5,Q6ZN66
Q2TA93,Q6ZN66
A4UUI3,Q6ZN66
A0A0G2JDV3,Q6ZN66
Q2V6D6,Q6ZN66
Q8BTS3,Q6ZN66
Q61107,Q8N8V2
Q91Z40,Q8N8V2
P82976,Q14549
P48031,P52951
P21614,P38435
Q8VC88,P28676
O88986,O75600
Q9D4H2,Q96CN9
Q8CHG3,Q8IWJ2
Q60759,Q92947
Q8BKT3,P16383
P55095,P01275
Q61606,P47871
Q05915,P30793
P99025,P30047
P52792,Q12851
Q91X44,Q14397
P97494,P48506
O09172,P48507
P70348,Q9NP62
O09102,O75603
E9PVA8,Q92616
Q09324,Q02742
P97402,Q8N0V5
Q5JCT0,O95395
E9Q649,Q9P109
Q3V3K7,Q6ZNI0
Q3UIJ9,H8Y6P7
Q6P6I6,H8Y6P7
Q6RFH4,Q8N6F7
Q91WK5,P23434
Q9R111,Q9Y2T3
O88741,Q8TB36
Q8VE33,Q96MZ0
Q9DBL2,Q9NXN4
Q9JL56,Q9NZC3
P20863,P27539
P97737,P55107
Q9Z1W4,O95390
Q9Z0J7,Q99988
Q9WV56,Q9UK05
Q07104,Q9NR23
P43027,P43026
P43028,Q6KF10
P43029,Q7Z4P5
Q07105,O60383
P50396,P31150
Q61598,P50395
P48540,P39905
Q9CRY7,Q8N9F7
Q9ESM6,Q9HCC8
Q99LY2,Q7L5L3
Q3TT99,Q6W3E5
Q640M6,Q8WTR4
Q3TLS3,Q6ZNW5
P55041,P55040
Q9CQQ4,O14893
Q6P6L6,P57678
Q8BX17,Q8TEQ6
Q9CX53,Q8WXD5
,Q8WXD5
Q9CWY4,Q9H840
Q8BHE1,Q9NWZ8
Q8BMI4,Q17RS7
Q8K0D7,O00258
O54984,O43681
Q9D1H7,Q7L5D6
P03995,P14136
P56213,P55789
P70338,Q99684
O70237,Q5VTD9
Q8K0D5,Q96RP9
Q8R2Q4,Q969S9
Q3UHD2,Q9NXC2
Q9CYH5,Q3B7J2
P47856,Q06210
Q9Z2Z9,O94808
P97785,P56159
O08842,O00451
O35118,O60609
Q9JJT2,Q9GZZ7
Q6SJE0,Q6UXV0
P23591,Q13630
J3KML8,I3L273
Q8R0H9,Q9UJY5
Q6P5E6,Q9UJY4
Q8BMI3,Q9NZ52
Q923B0,Q9BVM4
Q9D7X8,O75223
Q9QYC7,P38435
Q9Z0L8,Q92820
Q80WJ1,Q86UU5
Q6K1E7,Q5YKI7
Q5SV77,Q9H3C7
Q9WTN0,O95749
Q60928,P19440
Q60928,P36268
Q60928,A6NGU5
Q9Z2A9,P36269
Q6PDE7,Q6P531
Q99JP7,Q9UJ14
P23336,Q4G0N0
Q60928,Q9BX51
Q60928,Q14390
Q60928,B5MD39
P06880,P01241
P06880,P01242
Q99J23,Q8N2G8
Q91VC9,Q9H3K2
P16882,P10912
P16043,P01286
P32082,Q02643
Q9EQX0,Q9UBU3
Q99P50,Q92847
Q9CPY6,Q8IVV7
Q9D7M1,Q9NWU2
Q99MR1,O75420
Q6Y7W8,Q6Y7W6
P70224,Q8WWP7
Q99MI6,A0A087WTJ2
Q8BWF2,A0A087WTJ2
Q99JY3,Q9NUV9
Q99MI6,Q96F15
Q8BWF2,Q96F15
Q8K349,Q6P9H5
Q8R379,Q8NHV1
Q75N62,Q8ND71
E9PW74,P0DJR0
Q8K259,Q9NXP7
Q91WR6,Q9NU53
Q9CZ15,Q14691
Q9D600,Q9Y248
Q9CY94,Q9BRX5
Q99LZ3,Q9BRT9
P48756,P09681
Q9Z0G0,O14908
Q9Z2H7,Q8TF65
Q8R5M0,Q8TF64
Q0P543,P48546
Q68FF6,Q9Y2X7
Q9JLQ2,Q14161
P23242,P17302
Q6S5G4,P17302
Q9WUS4,Q969M2
Q64448,Q9Y6H8
P28235,P35212
Q01231,P36382
P23242,
Q6S5G4,
P28236,P48165
P28230,P08034
Q00977,P29033
P28231,O75712
Q02738,Q9NTQ9
Q02739,O95377
P70689,O95452
P28229,Q8N144
Q8BQU6,Q5T442
Q921C1,Q8NFK1
O54851,Q9UKL4
Q91YD1,Q8N144
Q8BSD4,Q96KN9
Q9CX92,Q8NFK1
Q64516,P32189
Q8C635,P32189
Q9WU65,Q14410
Q8BX05,Q6ZS86
Q9JMB0,Q5VSY0
Q9CR36,Q9NS71
Q9CQS6,Q86XP6
Q9D0T7,P0CG01
P51569,Q9UHE5
P23780,P16278
Q8VC60,Q6UWU2
Q3UPY5,Q8IW92
A2RSQ1,Q8NCI6
Q8K3I9,Q86VQ1
Q9EPS3,O94923
Q91W43,P23378
Q8BMF8,Q6ZMI3
Q8R322,Q53GS7
Q61543,Q92896
P47806,P08151
Q0VGT2,P10070
Q61602,P10071
Q9CWG1,P48060
Q9DAG6,Q6UWM5
A0A1W2P7V2,Q6UWM5
Q9CQ35,Q4G1C9
Q9CYL5,Q9H4G4
Q8K1M4,Q8NBF1
Q8VDL9,Q9BZE0
Q6XP49,Q8NEA6
Q8BZM1,Q92990
Q9JHJ3,Q8WWB7
Q9CPU0,Q04760
Q9CPV4,Q9HC38
Q9D8I3,A6NK44
O35659,P43220
Q5IXF8,O95838
Q64018,P23415
Q7TNC8,P23416
Q91XP5,O75311
Q61603,
P48168,P48167
Q9QUH0,P35754
Q923X4,Q9NS18
Q9CQM9,O76003
Q80Y14,Q86SX6
D3Z7P3,O94925
Q571F8,Q9UI32
A4FUP9,Q96MS3
Q2NKH9,Q7Z4J2
Q6NSU3,Q68CQ7
Q640P4,Q9H1C3
Q9JL62,Q9NZD2
Q8K0R6,A6NH11
P26443,P00367
P26443,P49448
P15105,P15104
Q91XE0,Q6IB77
E9Q5L8,Q5SZD4
Q02596,Q8IVK1
Q8QZY2,Q8IVS8
Q922P9,Q49A26
Q60648,P17900
Q920G9,Q96IK5
Q920G9,Q8NEA9
Q8K0C9,O60547
Q9JL60,Q9Y692
P58929,Q9UKD1
Q9CQI3,P60983
Q9ERL7,O60234
,O60234
Q6PGG2,Q9P107
E9PX31,Q99445
G5E8L7,Q99445
Q3URY2,A6NCL1
O88513,O75496
Q922H4,Q96IJ6
Q8BTZ7,Q9Y5P6
Q9DCZ1,P36959
Q99L27,Q9P2T1
Q3THK7,P49915
P21278,P29992
P27600,Q03113
P27601,Q14344
P30677,O95837
P30678,P30679
B2RSH2,P63096
P08752,P04899
Q9DC51,P08754
Q8CGK7,P38405
P18872,P09471
P21279,P50148
Q6R0H7,Q5JWF2
,
P20612,P11488
P50149,P19087
Q3V3I2,A8MTJ3
O70443,P19086
P62874,P62873
Q9EQ15,Q9BYB4
P62880,P62879
Q61011,P16520
P29387,Q9HAV0
P62881,O14775
Q91WG8,Q9Y223
Q9CXP8,P50151
P61953,P61952
Q9DAS9,Q9UBI6
Q9JMF3,Q9P2W3
B2RVA4,A0A1W2PPG7
P63213,P59768
P63216,P63215
P50153,P50150
Q80SZ7,P63218
A0A3B2WD42,P63218
,P63218
Q61016,O60262
P63078,Q9UK08
Q61012,P63211
Q61017,O14610
P36916,P36915
Q99LH1,Q13823
Q8CI11,Q9BVP2
Q6PGG6,Q9NVN8
Q9QXF8,Q14749
P98192,O15228
O88958,P46926
Q9CRC9,Q8TDQ7
Q9JK38,Q96EK6
Q69ZN6,Q3T906
Q6S5C2,Q9UJJ9
P13562,P01148
Q01776,P30968
Q8BFR4,P15586
Q9CW79,Q92805
Q921M4,Q08379
P55937,Q08378
Q91VW5,Q13439
Q9QYE6,Q8TBA6
Q91W53,Q7Z5G4
Q9D428,Q2TAP0
E9PVZ8,Q14789
Q8BXA1,O00461
Q91XA2,Q8NBJ4
Q6P2L7,Q6P4E1
Q9CRA5,Q9H4A6
Q8R088,Q9H4A5
Q9DCQ3,Q6ZVE7
Q9CR60,Q9Y3E0
Q9DB00,Q3T8J9
P0C8B4,Q9BXV9
Q8BH60,Q9HD26
Q8BRM2,Q5T7V8
Q91X51,Q9BQQ3
Q99JX3,Q9H8Y8
O88630,O95249
O35166,O14653
P05201,P17174
Q7TSV6,Q8NHS2
P05202,P00505
O35930,P07359
P56400,P13224
Q9D733,P55259
O08742,P40197
P0C191,Q9HCN6
O88186,P14770
Q9JKA5,Q99795
Q9WTK3,O43292
Q69ZC8,Q8IXQ4
Q61586,Q9HCL2
Q61858,O95872
Q14DK4,Q6NUI2
Q8C0N2,Q53EU6
Q8K2C8,Q86UL3
Q9DBM1,Q9BRR8
Q3UFS4,Q8N954
Q7TQC7,Q9NW75
Q6PE65,Q9NWQ4
Q8BIY1,Q96I76
Q3TFK5,Q5T3I0
A2A6A1,Q9UKJ3
Q80SS6,Q8TDU6
Q6NXH3,Q86WP2
Q6NZP2,Q9HC44
Q9QZF2,P35052
Q8BKV1,Q8N158
Q8CFZ4,P51654
P51655,O75487
Q8CAL5,P78333
Q9R087,Q9Y625
Q8C0L9,Q9NPB8
P13707,P21695
Q3ULJ0,Q8N335
Q64521,P43304
Q8BMP4,Q99527
Q925Q5,Q96T91
Q812B2,Q86YW7
Q8BUV3,Q9NQX3
P06745,P06744
Q9D1N2,Q8IV16
Q56A08,Q92917
O70362,P80108
P35802,P51674
P35803,Q13491
Q8VCE2,Q9HCN4
Q8VEJ1,Q9H9Y4
Q9D3W4,Q9UHW5
Q99P91,Q14956
Q80T62,Q96P66
Q8BUV8,Q5VW38
Q91WD0,Q9NPR9
Q7TQP3,Q8TDV5
P35412,P47775
Q9Z282,Q9UNW8
Q7TQP2,Q8IZ08
Q80ZU9,Q96N19
Q8BNQ3,O60478
E9Q343,Q8N3F9
Q80UC8,Q6DWJ6
Q7TQP0,Q7Z602
B9EKH0,
Q7TQN9,Q7Z601
P70259,P51810
Q99LE2,Q96CH1
Q3UVY1,Q86SP6
Q0VDU3,P49685
Q8BL07,Q8NGU9
Q7TSN6,Q8TDV0
Q8BXS7,Q8TDT2
Q8K0Z9,Q6NV75
A2AWR3,Q7Z3F1
Q6PCP7,Q8NFN8
Q8C206,Q5UAW9
Q8C419,Q5T848
A0A0B4J1N3,Q6UWK7
Q3U3F9,Q9UJ42
B2RPY5,Q8N6U8
Q3UN16,Q16538
Q3V3A3,
Q6NS65,Q13304
Q8BG55,O14626
Q6PI62,Q9NS66
Q3U507,Q9BXC1
Q80WT4,Q14439
E9PY61,Q6PRD1
Q8K1Z6,Q14330
Q8BPS4,Q86V85
P43142,O15218
Q3U6B2,P32249
Q61121,Q15760
Q8BYC4,Q99678
Q8BX79,Q99679
Q8BZL4,Q99680
P0C5I1,O00155
Q8BZA7,Q8NDV2
O54897,Q9NS67
P35413,P46089
F8VQN3,O00270
O88416,Q49SQ1
Q9R1K6,Q9UPC5
Q9ES90,Q9HC97
Q9QY42,O15354
Q99JG2,O60883
Q5U431,O43194
Q8BUD0,P46093
Q3UFD7,O15529
Q9EQQ4,Q9Y5Y3
O88495,Q13585
P0C5J4,Q9Y2T5
Q3UJF0,Q9Y2T6
Q6YNI2,P46095
Q8C010,Q9BZJ8
Q80UC6,Q9BZJ7
Q9EQQ3,Q9BZJ6
Q61038,Q8IYL9
Q8BFQ3,Q15743
Q6X632,O95800
Q9WV72,
Q8BZR0,Q96P67
P30731,Q9NYM4
Q8CIM5,Q9NQS5
P60894,P60893
Q99MT7,Q9BY21
Q9EPB7,Q9GZN0
Q8BS95,B7ZAQ6
Q8BS95,P0CG08
Q5U4C1,Q5JY77
Q6PB60,Q96D09
Q8BUY8,Q96D09
Q6PB60,Q6PI77
Q8BUY8,Q6PI77
Q8BHL4,Q8NFJ5
Q923Z0,Q9NZH0
Q8K3J9,Q9NQ84
Q9JIL6,Q9NZD1
Q8K4Z6,Q5T6X5
Q3UNH4,Q7Z2K8
A0A2I3BRN2,O60269
Q8BWS5,Q6ZVF9
Q99LD4,Q13098
Q921N8,Q13227
Q6IR34,Q86YR5
Q8VDU0,P81274
Q3U1Z5,Q9Y4H4
Q8QZR5,P24298
Q8BGT5,Q8TD30
P11352,P07203
Q9JHC0,P18283
P46412,P22352
O70325,P36969
P21765,O75715
Q91WR8,Q96SL4
Q99LJ6,Q96SL4
Q9D7B7,Q8TED1
Q8VEF1,Q96CP6
Q80TI0,Q3KR37
Q8CI52,Q8IYS0
Q3V3G7,Q8IUY3
Q6PEM6,Q96HH9
Q8CB44,Q6IC98
Q9CX99,Q13588
O89100,O75791
Q9CX99,Q8TC17
Q60760,Q13322
Q9JLM9,Q14449
Q60631,P62993
Q03160,Q14451
Q3UHK3,Q4ZG55
B9EJV3,Q9C091
O70326,O60565
O88273,Q9H772
A0A0J9YVH6,A0A0J9YXV3
Q921D9,Q9NZI5
Q8K5C0,Q6ISB3
Q5FWH3,Q8TE85
Q91Z53,Q9UBQ7
P23818,P42261
P23819,P42262
Q9Z2W9,P42263
Q9Z2W8,P48058
Q61627,Q9ULK0
Q61625,O43424
Q0QWG9,A4D2P6
Q9D1U0,A4D1Z8
Q60934,P39086
P39087,Q16478
B1AS29,Q13003
Q8BMF5,Q16099
Q61626,Q16478
P35438,Q05586
P35436,Q12879
Q01097,Q13224
Q01098,Q14957
Q03391,O15399
A2AIR5,Q8TCU5
Q91ZU9,O60391
Q9ESF4,Q7Z429
Q925T6,Q9Y3R0
G3XA20,Q9C0E4
Q8VD04,Q4V328
Q9WVL4,Q15835
Q99MK8,P25098
Q3UYH7,P35626
O70291,P32298
Q8VEB1,P34947
O70293,P43250
P97772,Q13255
Q14BI2,Q14416
Q9QYS2,Q14832
Q68EF4,Q14833
Q3UVX5,P41594
Q5NCH9,O15303
Q68ED2,Q14831
P47743,O00222
P28798,P28799
Q8R1I2,Q3ZCW2
Q99LP6,Q9HAV7
O88396,Q8TAA5
P21729,P30550
Q8C5Q4,Q12849
Q9D3N8,Q5TC63
Q810D6,Q9BQ67
Q50H32,A8MXD5
Q3TYR5,A6NFK2
Q3TCV3,A4D1B5
Q02591,P56915
P56916,O15499
Q9EST1,Q96QA5
Q32M21,Q96QA5
Q5Y4Y6,Q96QA5
Q99NB5,Q9BYG8
Q2KHK6,Q9BYG8
Q8CB12,Q9BYG8
Q3TR54,Q9BYG8
Q9D8T2,P57764
Q9Z2D3,O60443
Q3U3C9,Q14687
Q8R1W2,Q2KHT4
D3Z7H4,Q6UXU4
M0QWL6,A8MUP6
Q2NL51,P49840
Q9WV60,P49841
Q8BGR8,Q9P0R6
P13020,P06396
Q8R050,P15170
Q149F3,Q8IYD1
P47791,P00390
P51855,P48637
Q6P8Q0,P08263
P13745,P08263
P10648,P08263
P30115,P08263
E9Q6L7,P08263
Q6P8Q0,P09210
P13745,P09210
P10648,P09210
P30115,P09210
E9Q6L7,P09210
Q6P8Q0,Q16772
P13745,Q16772
P10648,Q16772
P30115,Q16772
E9Q6L7,Q16772
Q6P8Q0,Q7RTV2
P13745,Q7RTV2
P10648,Q7RTV2
P30115,Q7RTV2
E9Q6L7,Q7RTV2
Q5RL51,Q8NEC7
Q9DCM2,Q9Y2Q3
P10649,P09488
P15626,P09488
P19639,P09488
O35660,P09488
Q80W21,P28161
P48774,P21266
Q8R5I6,Q03013
P10649,P46439
P15626,P46439
P19639,P46439
O35660,P46439
O09131,P78417
Q8K2Q2,Q9H4Y5
P19157,P09211
P46425,P09211
F6RWR5,P09211
,P09211
Q64471,P30711
Q61133,P0CG30
Q61133,P0CG30
Q9D4P7,A0A1W2PR19
Q9WVL0,O43708
P31315,Q9H4S2
P31316,Q9BZM3
Q8BW56,Q4AE62
Q99PM3,P52655
Q8R4I4,Q9UNN4
Q80ZM7,P52657
P62915,Q00403
Q9D0D5,P29083
Q9D902,P29084
Q3THK3,P35269
Q8R0A0,P13984
Q9DBA9,P32780
Q9JIB4,Q13888
Q9JIB4,Q6P1K8
Q9JIB4,Q6P1K8
Q8VD76,Q13889
O70422,Q92759
Q8K2X8,Q6ZYL4
Q9ESZ8,P78347
Q9JI57,Q9UHL9
Q99NI3,Q86UP8
Q99NI3,Q6EKJ0
Q8VHT7,Q92664
Q8K284,Q12789
Q8BL74,Q8WUA4
Q3TMP1,Q9Y5Q9
Q8BMQ2,Q9UKN8
Q8R2T8,Q9Y5Q8
Q9D8P7,Q969F1
O08582,O00178
Q8K013,A4D1E9
Q3UJK4,Q9BX10
Q923K4,Q969Y2
Q99ME9,Q9BZE4
Q3U6U5,O43824
Q9CY28,Q8N3Z3
Q8R080,Q9NYZ3
Q9DAN6,Q8WW33
Q9CWD0,Q9H1H1
P43081,P43080
Q8VBV8,Q9UMX6
P33680,Q02747
O09051,Q16661
Q8BZI6,Q96NT3
Q9ERL9,Q02108
F8VQK3,P33402
O54865,Q02153
Q8BXH3,O75343
Q3UWA6,P25092
P52785,Q02846
Q5SDA5,P51841
Q6TL19,
Q8C3X4,Q8N442
Q64520,Q16774
P58710,
Q8K2A1,Q9UBP9
P12265,P08236
Q80SU7,Q7Z2Y8
H3BL64,Q7Z2Y8
Q3UHH8,Q4G148
Q810K9,A0PJZ3
Q9R062,P46976
P14220,P02724
P14220,P06028
Q78HU7,P04921
P14220,P15421
Q9Z1E4,P13807
Q8VCB3,P54840
Q4VBD9,Q9H116
P11032,P12544
P04187,P10144
P08882,P10144
P11033,P10144
P08884,P10144
P08883,P10144
P13366,P10144
Q920S1,P10144
P04187,P20718
P08882,P20718
P11033,P20718
P08884,P20718
P08883,P20718
P13366,P20718
Q920S1,P20718
O35205,P49863
O08643,P51124
P10922,P07305
P43275,Q02539
Q80ZM5,Q92522
P15864,P16403
P43277,P16402
P43274,P10412
P43276,P16401
Q07133,P22492
Q8CJI4,Q75WM6
Q8VIK3,Q8IZA3
Q9QYL0,P60008
S4R1E0,P0C5Y9
S4R1M3,P0C5Y9
S4R1G7,P0C5Y9
S4R1E0,P0C5Z0
S4R1M3,P0C5Z0
S4R1G7,P0C5Z0
S4R1E0,P0C5Z0
S4R1M3,P0C5Z0
S4R1G7,P0C5Z0
Q8CGP4,Q96QV6
Q8CGP7,Q96QV6
C0HKE5,P0C0S8
C0HKE6,P0C0S8
C0HKE7,P0C0S8
C0HKE8,P0C0S8
C0HKE9,P0C0S8
C0HKE1,P0C0S8
C0HKE2,P0C0S8
C0HKE3,P0C0S8
C0HKE4,P0C0S8
Q8CGP6,Q96KK5
Q8CGP5,Q99878
C0HKE5,P0C0S8
C0HKE6,P0C0S8
C0HKE7,P0C0S8
C0HKE8,P0C0S8
C0HKE9,P0C0S8
C0HKE1,P0C0S8
C0HKE2,P0C0S8
C0HKE3,P0C0S8
C0HKE4,P0C0S8
C0HKE5,P0C0S8
C0HKE6,P0C0S8
C0HKE7,P0C0S8
C0HKE8,P0C0S8
C0HKE9,P0C0S8
C0HKE1,P0C0S8
C0HKE2,P0C0S8
C0HKE3,P0C0S8
C0HKE4,P0C0S8
C0HKE5,P0C0S8
C0HKE6,P0C0S8
C0HKE7,P0C0S8
C0HKE8,P0C0S8
C0HKE9,P0C0S8
C0HKE1,P0C0S8
C0HKE2,P0C0S8
C0HKE3,P0C0S8
C0HKE4,P0C0S8
Q6GSS7,Q6FI13
Q6GSS7,Q6FI13
Q6GSS7,Q6FI13
Q6GSS7,Q6FI13
Q64523,Q16777
Q64522,Q8IUE6
Q8BFU2,Q7L7L0
C0HKE5,P04908
C0HKE6,P04908
C0HKE7,P04908
C0HKE8,P04908
C0HKE9,P04908
C0HKE1,P04908
C0HKE2,P04908
C0HKE3,P04908
C0HKE4,P04908
C0HKE5,Q93077
C0HKE6,Q93077
C0HKE7,Q93077
C0HKE8,Q93077
C0HKE9,Q93077
C0HKE1,Q93077
C0HKE2,Q93077
C0HKE3,Q93077
C0HKE4,Q93077
C0HKE5,P20671
C0HKE6,P20671
C0HKE7,P20671
C0HKE8,P20671
C0HKE9,P20671
C0HKE1,P20671
C0HKE2,P20671
C0HKE3,P20671
C0HKE4,P20671
C0HKE5,P04908
C0HKE6,P04908
C0HKE7,P04908
C0HKE8,P04908
C0HKE9,P04908
C0HKE1,P04908
C0HKE2,P04908
C0HKE3,P04908
C0HKE4,P04908
Q8R1M2,Q9BTM1
Q5M8Q2,A0A3B3IU63
A0A087WP11,A0A3B3IU63
Q5M8Q2,A0A3B3IU63
Q5M8Q2,A0A3B3IU63
Q810S6,A0A3B3IU63
Q5M8Q2,A0A3B3IU63
Q5M8Q2,A0A3B3IU63
Q5M8Q2,A0A3B3IU63
Q5M8Q2,A0A3B3IU63
A2BFR3,A0A3B3IU63
J3QP08,A0A3B3IU63
Q9DAD9,A0A3B3IU63
Q497L1,A0A3B3IU63
L7MU04,A0A3B3IU63
Q9CQ70,A0A3B3IU63
A9Z055,A0A3B3IU63
A9Z055,A0A3B3IU63
Q9CR04,O75409
P27661,P16104
P0C0S6,P0C0S5
Q3THW5,Q71UI9
P70696,Q96A08
P10853,P62807
P10853,P62807
P10854,P62807
P10853,P62807
Q8CBB6,P62807
Q8CBB6,P62807
Q9D2U9,P62807
Q64475,P62807
Q6ZWY9,P62807
Q6ZWY9,P62807
P10853,P62807
Q6ZWY9,P62807
Q64478,P62807
Q64524,P06899
Q8CGP1,O60814
P10853,Q99880
P10853,Q99880
P10854,Q99880
P10853,Q99880
Q8CBB6,Q99880
Q8CBB6,Q99880
Q9D2U9,Q99880
Q64475,Q99880
Q6ZWY9,Q99880
Q6ZWY9,Q99880
P10853,Q99880
Q6ZWY9,Q99880
Q64478,Q99880
P10853,Q99879
P10853,Q99879
P10854,Q99879
P10853,Q99879
Q8CBB6,Q99879
Q8CBB6,Q99879
Q9D2U9,Q99879
Q64475,Q99879
Q6ZWY9,Q99879
Q6ZWY9,Q99879
P10853,Q99879
Q6ZWY9,Q99879
Q64478,Q99879
P10853,Q99877
P10853,Q99877
P10854,Q99877
P10853,Q99877
Q8CBB6,Q99877
Q8CBB6,Q99877
Q9D2U9,Q99877
Q64475,Q99877
Q6ZWY9,Q99877
Q6ZWY9,Q99877
P10853,Q99877
Q6ZWY9,Q99877
Q64478,Q99877
Q8CGP2,P23527
Q64525,Q5QNW6
Q8CGP0,Q8N257
P10853,
P10853,
P10854,
P10853,
Q8CBB6,
Q8CBB6,
Q9D2U9,
Q64475,
Q6ZWY9,
Q6ZWY9,
P10853,
Q6ZWY9,
Q64478,
P10853,P33778
P10853,P33778
P10854,P33778
P10853,P33778
Q8CBB6,P33778
Q8CBB6,P33778
Q9D2U9,P33778
Q64475,P33778
Q6ZWY9,P33778
Q6ZWY9,P33778
P10853,P33778
Q6ZWY9,P33778
Q64478,P33778
P10853,P62807
P10853,P62807
P10854,P62807
P10853,P62807
Q8CBB6,P62807
Q8CBB6,P62807
Q9D2U9,P62807
Q64475,P62807
Q6ZWY9,P62807
Q6ZWY9,P62807
P10853,P62807
Q6ZWY9,P62807
Q64478,P62807
P10853,P58876
P10853,P58876
P10854,P58876
P10853,P58876
Q8CBB6,P58876
Q8CBB6,P58876
Q9D2U9,P58876
Q64475,P58876
Q6ZWY9,P58876
Q6ZWY9,P58876
P10853,P58876
Q6ZWY9,P58876
Q64478,P58876
P10853,P62807
P10853,P62807
P10854,P62807
P10853,P62807
Q8CBB6,P62807
Q8CBB6,P62807
Q9D2U9,P62807
Q64475,P62807
Q6ZWY9,P62807
Q6ZWY9,P62807
P10853,P62807
Q6ZWY9,P62807
Q64478,P62807
P10853,P62807
P10853,P62807
P10854,P62807
P10853,P62807
Q8CBB6,P62807
Q8CBB6,P62807
Q9D2U9,P62807
Q64475,P62807
Q6ZWY9,P62807
Q6ZWY9,P62807
P10853,P62807
Q6ZWY9,P62807
Q64478,P62807
P10853,P62807
P10853,P62807
P10854,P62807
P10853,P62807
Q8CBB6,P62807
Q8CBB6,P62807
Q9D2U9,P62807
Q64475,P62807
Q6ZWY9,P62807
Q6ZWY9,P62807
P10853,P62807
Q6ZWY9,P62807
Q64478,P62807
P10853,Q93079
P10853,Q93079
P10854,Q93079
P10853,Q93079
Q8CBB6,Q93079
Q8CBB6,Q93079
Q9D2U9,Q93079
Q64475,Q93079
Q6ZWY9,Q93079
Q6ZWY9,Q93079
P10853,Q93079
Q6ZWY9,Q93079
Q64478,Q93079
Q9D9Z7,
Q9DAB5,Q7Z2G1
Q9DAB5,P0C1H6
P84244,P84243
P84244,P84243
P84244,P84243
P84244,P84243
,Q6NXT2
P68433,P68431
P68433,P68431
P68433,P68431
P84228,P68431
P84228,P68431
P84228,P68431
P84228,P68431
P84228,P68431
P84228,P68431
P84228,P68431
P84228,P68431
P68433,P68431
P02301,P68431
P68433,P68431
P68433,P68431
P68433,P68431
P84228,P68431
P84228,P68431
P84228,P68431
P84228,P68431
P84228,P68431
P84228,P68431
P84228,P68431
P84228,P68431
P68433,P68431
P02301,P68431
